"team","location","run_percent","hr_percent","year"
"HOU","away",0.466552315608919,0.458904109589041,"2012"
"HOU","home",0.533447684391081,0.541095890410959,"2012"
"HOU","away",0.511475409836066,0.452702702702703,"2013"
"HOU","home",0.488524590163934,0.547297297297297,"2013"
"HOU","away",0.494435612082671,0.447852760736196,"2014"
"HOU","home",0.505564387917329,0.552147239263804,"2014"
"HOU","away",0.496570644718793,0.443478260869565,"2015"
"HOU","home",0.503429355281207,0.556521739130435,"2015"
"HOU","away",0.538674033149171,0.505050505050505,"2016"
"HOU","home",0.461325966850829,0.494949494949495,"2016"
"HOU","away",0.559151785714286,0.516806722689076,"2017"
"HOU","home",0.440848214285714,0.483193277310924,"2017"
"HOU","away",0.531994981179423,0.551219512195122,"2018"
"HOU","home",0.468005018820577,0.448780487804878,"2018"
"HOU","away",0.468478260869565,0.479166666666667,"2019"
"HOU","home",0.531521739130435,0.520833333333333,"2019"
"HOU","away",0.526881720430108,0.579710144927536,"2020"
"HOU","home",0.473118279569892,0.420289855072464,"2020"
"FLA","away",0.492350486787204,0.546052631578947,"2010"
"FLA","home",0.507649513212796,0.453947368421053,"2010"
"FLA","away",0.5216,0.516778523489933,"2011"
"FLA","home",0.4784,0.483221476510067,"2011"
"MIA","away",0.499178981937603,0.598540145985402,"2012"
"MIA","home",0.500821018062397,0.401459854014599,"2012"
"MIA","away",0.461988304093567,0.621052631578947,"2013"
"MIA","home",0.538011695906433,0.378947368421053,"2013"
"MIA","away",0.458914728682171,0.516393442622951,"2014"
"MIA","home",0.541085271317829,0.483606557377049,"2014"
"MIA","away",0.500815660685155,0.558333333333333,"2015"
"MIA","home",0.499184339314845,0.441666666666667,"2015"
"MIA","away",0.538931297709924,0.546875,"2016"
"MIA","home",0.461068702290076,0.453125,"2016"
"MIA","away",0.537275064267352,0.510309278350515,"2017"
"MIA","home",0.462724935732648,0.489690721649485,"2017"
"MIA","away",0.526315789473684,0.5859375,"2018"
"MIA","home",0.473684210526316,0.4140625,"2018"
"MIA","away",0.469918699186992,0.534246575342466,"2019"
"MIA","home",0.530081300813008,0.465753424657534,"2019"
"MIA","away",0.627376425855513,0.633333333333333,"2020"
"MIA","home",0.372623574144487,0.366666666666667,"2020"
"SDP","away",0.546310832025118,0.571428571428571,"2008"
"SDP","home",0.453689167974882,0.428571428571429,"2008"
"SDP","away",0.564263322884012,0.567375886524823,"2009"
"SDP","home",0.435736677115987,0.432624113475177,"2009"
"SDP","away",0.515789473684211,0.553030303030303,"2010"
"SDP","home",0.484210526315789,0.446969696969697,"2010"
"SDP","away",0.569983136593592,0.494505494505495,"2011"
"SDP","home",0.430016863406408,0.505494505494505,"2011"
"SDP","away",0.525345622119816,0.611570247933884,"2012"
"SDP","home",0.474654377880184,0.388429752066116,"2012"
"SDP","away",0.529126213592233,0.547945205479452,"2013"
"SDP","home",0.470873786407767,0.452054794520548,"2013"
"SDP","away",0.500934579439252,0.504587155963303,"2014"
"SDP","home",0.499065420560748,0.495412844036697,"2014"
"SDP","away",0.506153846153846,0.5,"2015"
"SDP","home",0.493846153846154,0.5,"2015"
"SDP","away",0.489795918367347,0.531073446327684,"2016"
"SDP","home",0.510204081632653,0.468926553672316,"2016"
"SDP","away",0.5,0.529100529100529,"2017"
"SDP","home",0.5,0.470899470899471,"2017"
"SEA","away",0.497764530551416,0.524193548387097,"2008"
"SEA","home",0.502235469448584,0.475806451612903,"2008"
